"image","Title","Author","Synopsis","Publisher"
"[![The Tenant](https://m.media-amazon.com/images/I/71aOvZBV1cL._SY342_.jpg)](https://bookshop.org/a/113618/9781464227318)","[The Tenant](https://bookshop.org/a/113618/9781464227318) (Paperback)","Freida McFadden","Freida McFadden knocks at your door with a gripping story of revenge, privilege, and secrets turned sour…","Poisoned Pen Press (May 6, 2025)"
"[![Great Big Beautiful Life: Reese's Book Club](https://m.media-amazon.com/images/I/71fD+iFwL1L._SL1500_.jpg)](https://bookshop.org/a/113618/9780593441299)","[Great Big Beautiful Life: Reese's Book Club](https://bookshop.org/a/113618/9780593441299) (Hardcover)","Emily Henry","Two writers compete for the chance to tell the larger-than-life story of a woman with more than a couple of plot twists up her sleeve in this dazzling and sweeping novel from Emily Henry.","Berkley (April 22, 2025)"
"[![Shield of Sparrows](https://m.media-amazon.com/images/I/51D85BBQtbL._SY445_SX342_PQ78_.jpg)](https://bookshop.org/a/113618/9781649378514)","[Shield of Sparrows](https://bookshop.org/a/113618/9781649378514) (Hardcover)","Devney Perry","Shield of Sparrows is a slow-burn, high-stakes romantasy perfect for fans of Sarah J. Maas and Rebecca Yarros?where enemies become lovers, monsters stalk a cursed realm, and a forgotten princess finds the strength to tear off her crown and become the warrior she was never meant to be.","Entangled: Red Tower Books (May 6, 2025)"
"[![The Housemaid](https://m.media-amazon.com/images/I/81AHTyq2wVL._SY342_.jpg)](https://bookshop.org/a/113618/9781538742570)","[The Housemaid](https://bookshop.org/a/113618/9781538742570) (Paperback)","Freida McFadden","I only try on one of Nina’s pristine white dresses once. Just to see what it’s like. But she soon finds out… and by the time I realize my attic bedroom door only locks from the outside, it’s far too late.

But I reassure myself: the Winchesters don’t know who I really am.

They don’t know what I’m capable of…","Grand Central Publishing (August 23, 2022)"
"[![The Nightingale: A Novel](https://m.media-amazon.com/images/I/81OkWjcf4WL._SY342_.jpg)](https://bookshop.org/a/113618/9781250080400)","[The Nightingale: A Novel](https://bookshop.org/a/113618/9781250080400) (Paperback)","Kristin Hannah","A heartbreakingly beautiful novel that celebrates the resilience of the human spirit and the durability of women. It is a novel for everyone, a novel for a lifetime.","St. Martin's Griffin (April 25, 2017)"
"[![James: A Novel](https://m.media-amazon.com/images/I/71SLeCwMlWL._SY466_.jpg)](https://bookshop.org/a/113618/9780385550369)","[James: A Novel](https://bookshop.org/a/113618/9780385550369) (Hardcover)","Percival Everett","A brilliant, action-packed reimagining of Adventures of Huckleberry Finn, both harrowing and darkly humorous, told from the enslaved Jim's point of view","Doubleday (March 19, 2024)"
"[![Onyx Storm](https://m.media-amazon.com/images/I/51ue+RwnAJL._SY445_SX342_PQ78_.jpg)](https://bookshop.org/a/113618/9781649377159)","[Onyx Storm](https://bookshop.org/a/113618/9781649377159) (Hardcover)","Rebecca Yarros","After nearly eighteen months at Basgiath War College, Violet Sorrengail knows there’s no more time for lessons. No more 
time for uncertainty. Because the battle has truly begun, and with enemies closing in 
from outside their walls and within their ranks, it’s impossible to know who to trust.","Entangled: Red Tower Books (January 21, 2025)"
"[![One Golden Summer](https://m.media-amazon.com/images/I/812W6UKfgVL._SY466_.jpg)](https://bookshop.org/a/113618/9780593638910)","[One Golden Summer](https://bookshop.org/a/113618/9780593638910) (Paperback)","Carley Fortune","Good things happen at the lake. That’s what Alice’s grandmother says, and it’s true. Alice spent just one summer there at a cottage with Nan when she was seventeen—it’s where she took that photo, the one of three grinning teenagers in a yellow speedboat, the image that changed her life.","Berkley (May 6, 2025)"
"[![Broken Country](https://m.media-amazon.com/images/I/81565rjI6fL._SL1500_.jpg)](https://bookshop.org/a/113618/9781668078181)","[Broken Country](https://bookshop.org/a/113618/9781668078181) (Hardcover)","Clare Leslie Hall","A love triangle unearths dangerous, deadly
secrets from the past in this thrilling tale
perfect for fans of The Paper Palace and
Where the Crawdads Sing.","Simon & Schuster (March 4, 2025)"
"[![Iron Flame](https://m.media-amazon.com/images/I/61CrGbiVSnL._SY445_SX342_PQ78_.jpg)](https://bookshop.org/a/113618/9781649374172)","[Iron Flame](https://bookshop.org/a/113618/9781649374172) (Hardcover)","Rebecca Yarros","Everyone expected Violet Sorrengail to
die during her first year at Basgiath War
College Violet included. But Threshing was
only the first impossible test meant to weed
out the weak-willed, the unworthy, and the
unlucky.","Entangled: Red Tower Books (November 7, 2023)"
