"image","Title","Author","Synopsis","Publisher"
"[![The 5 Types of Wealth](https://m.media-amazon.com/images/I/71zJZ5Zi-ML._SL1500_.jpg)](https://bookshop.org/a/113618/9780593723180)","[The 5 Types of Wealth](https://bookshop.org/a/113618/9780593723180) (Hardcover)","Sahil Bloom","After three years of research, personal experimentation, and thousands of interviews across the globe, Sahil Bloom has created a groundbreaking blueprint to build your life around five types of wealth: Time Wealth, Social Wealth, Mental Wealth, Physical Wealth, and Financial Wealth.","Ballantine Books (February 4, 2025)"
"[![I Will Teach You to Be Rich](https://m.media-amazon.com/images/I/81c9SSbG3OL._SL1500_.jpg)](https://bookshop.org/a/113618/9781523505746)","[I Will Teach You to Be Rich](https://bookshop.org/a/113618/9781523505746) (Paperback)","Ramit Sethi","Personal finance expert Ramit Sethi has been called a “wealth wizard” by Forbes and the “new guru on the block” by Fortune. Now he’s updated and expanded his modern money classic for a new age, delivering a simple, powerful, no-BS 6-week program that just works.","Workman Publishing Company (May 14, 2019)"
"[![The 7 Habits of Highly Effective People: 30th Anniversary Edition](https://m.media-amazon.com/images/I/810oMMWrltL._SL1500_.jpg)](https://bookshop.org/a/113618/9781982137274)","[The 7 Habits of Highly Effective People: 30th Anniversary Edition](https://bookshop.org/a/113618/9781982137274) (Paperback)","Stphen R. Covey","The 7 Habits have become famous and are integrated into everyday thinking by millions and millions of people. Why? Because they work!With Sean Covey’s added takeaways on how the habits can be used in our modern age, the wisdom of the 7 Habits will be refreshed for a new generation of leaders","Simon & Schuster (May 19, 2020)"
"[![On Democracies and Death Culths: Israel and the Future of Civilization](https://m.media-amazon.com/images/I/91FxXLjltsL._SL1500_.jpg)](https://bookshop.org/a/113618/9780063437135)","[On Democracies and Death Culths: Israel and the Future of Civilization](https://bookshop.org/a/113618/9780063437135) (Hardcover)","Dopuglas Murray","Murray is not Jewish and before October 7, he had never lived in Israel. However, he objects to being lied to, and Israel has been on the receiving end of the biggest, deepest, longest lies in history.","Broadside Books (April 8, 2025)"
"[![A People's History of the United States](https://m.media-amazon.com/images/I/71Zb-D8NaGL._SL1500_.jpg)](https://bookshop.org/a/113618/9780062397348)","[A People's History of the United States](https://bookshop.org/a/113618/9780062397348) (Paperback)","Howard Zinn","Known for its lively, clear prose as well as its scholarly research, itis the only volume to tell America's story from the point of view of—and in the words of—America's women, factory workers, African-Americans, Native Americans, the working poor, and immigrant laborers.","Harper Perennial Modern Classics (November 17, 2025)"
"[![Who Is Government?](https://m.media-amazon.com/images/I/716Gef+GR6L._SL1500_.jpg)](https://bookshop.org/a/113618/9798217047802)","[Who Is Government?](https://bookshop.org/a/113618/9798217047802) (Hardcover)","Michael Lewis","Who works for the government and why does their work matter? An urgent and absorbing civics lesson from an all-star team of writers and storytellers.","Riverhead Books (March 18, 2025)"
"[![On Tyranny](https://m.media-amazon.com/images/I/5176LKi-MLL._SL1200_.jpg)](https://bookshop.org/a/113618/9780804190114)","[On Tyranny](https://bookshop.org/a/113618/9780804190114) (Paperback)","Timothy Snyder","The Founding Fathers tried to protect us from the threat they knew, the tyranny that overcame ancient democracy. Today, our political order faces new threats, not unlike the totalitarianism of the twentieth century.","Crown (February 28, 2017)"
"[![Meditations](https://m.media-amazon.com/images/I/61ZY+gIU5dL._SL1500_.jpg)](https://bookshop.org/a/113618/9781539952299)","[Meditations](https://bookshop.org/a/113618/9781539952299) (Paperback)","Marcus Aurelius, translation by James Harris","Meditations is a series of personal writings by Marcus Aurelius, Roman Emperor from 161 to 180 AD, recording his private notes to himself and ideas on Stoic philosophy.","Independently Published (November 7, 2016)"
"[![Abundance](https://m.media-amazon.com/images/I/71To88V1FAL._SL1500_.jpg)](https://bookshop.org/a/113618/9781668023488)","[Abundance](https://bookshop.org/a/113618/9781668023488) (Hardcover)","Ezra Klein","Abundance explains that our problems today are not the results of yesteryear’s villains. Rather, one generation’s solutions have become the next gener­ation’s problems.","Avid Reader Press/ Simon & Schuster (March 18, 2025)"
"[![The Constitution of the United States](https://m.media-amazon.com/images/I/81HGOLMQ+UL._SL1500_.jpg)](https://bookshop.org/a/113618/9781631581489)","[The Constitution of the United States](https://bookshop.org/a/113618/9781631581489) (Paperback)","Delegates of The Constitutional Convention","Whether you are a Democrat, Republican, or independent, whether you are a support of Donald Trump or not, if you live and vote in the United States of America, you understand that The Constitution of the United States and The Declaration of Independence are two of the most important documents in American history.","Racehorse (October 11, 2016)"
